book_id,authors,original_title,isbn,language_code,image_url,average_rating,ratings_count,genre
7613,George Orwell,Animal Farm: A Fairy Story,452284244,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,3.87,1881700,"classics, fiction"
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,553296981,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,4.1,1972666,"classics, history"
2429135,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,307269752,eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,4.11,1808403,"fiction, mystery"
6148028,Suzanne Collins,Catching Fire,439023491,eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,4.3,1831039,"fantasy, romance"
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,043965548X,eng,https://images.gr-assets.com/books/1499277281m/5.jpg,4.53,1832823,"fantasy, fiction"
34,J.R.R. Tolkien, The Fellowship of the Ring,618346252,eng,https://images.gr-assets.com/books/1298411339m/34.jpg,4.34,1766803,"fantasy, classics"
7260188,Suzanne Collins,Mockingjay,439023513,eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,4.03,1719760,"fiction, fantasy"
2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,439358078,eng,https://images.gr-assets.com/books/1387141547m/2.jpg,4.46,1735368,"fantasy, fiction"
12232938,Alice Sebold,The Lovely Bones,316166685,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,3.77,1605173,"fiction, mystery"
15881,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,439064864,eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,4.37,1779331,"fantasy, fiction"
6,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,439139600,eng,https://images.gr-assets.com/books/1361482611m/6.jpg,4.53,1753043,"fantasy, fiction"
136251,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,545010225,eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,4.61,1746574,"fantasy, fiction"
968,Dan Brown,The Da Vinci Code,307277674,eng,https://images.gr-assets.com/books/1303252999m/968.jpg,3.79,1447148,"fiction, thriller"
1,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,439785960,eng,https://images.gr-assets.com/books/1361039191m/1.jpg,4.54,1678823,"fantasy, fiction"
7624,William Golding,Lord of the Flies ,140283331,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,3.64,1605019,"classics, fiction"
18135,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,743477111,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,3.73,1628519,"classics, fiction"
8442457,Gillian Flynn,Gone Girl,297859382,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,4.03,512475,"mystery, crime"
4667024,Kathryn Stockett,The Help,399155341,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,4.45,1531753,"fiction, contemporary"
890,John Steinbeck,Of Mice and Men ,142000671,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,3.84,1467496,"classics, fiction"
930,Arthur Golden,Memoirs of a Geisha,739326228,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,4.08,1300209,"fiction, romance"
10818853,E.L. James,Fifty Shades of Grey,1612130291,eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,3.67,1338493,"romance, fiction"
865,"Paulo Coelho, Alan R. Clarke",O Alquimista,61122416,eng,https://images.gr-assets.com/books/1483412266m/865.jpg,3.82,1299566,"fiction, classics"
3636,Lois Lowry,The Giver,385732554,eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,4.12,1296825,"fiction, classics"
100915,C.S. Lewis,"The Lion, the Witch and the Wardrobe",60764899,eng,https://images.gr-assets.com/books/1353029077m/100915.jpg,4.19,1531800,"fantasy, classics"
14050,Audrey Niffenegger,The Time Traveler's Wife,965818675,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg,3.95,746287,"fiction, romance"
13496,George R.R. Martin,A Game of Thrones,553588486,eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,4.45,1319204,"fiction, fantasy"
19501,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",143038419,eng,https://images.gr-assets.com/books/1503066414m/19501.jpg,3.51,1181647,"memoir, travel"
28187,Rick Riordan,The Lightning Thief,786838655,eng,https://images.gr-assets.com/books/1400602609m/28187.jpg,4.23,1366265,"fantasy, fiction"
1934,Louisa May Alcott,Little Women,451529308,en-US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,4.04,1257121,"classics, fiction"
10210,"Charlotte Brontë, Michael Mason",Jane Eyre,142437204,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,4.1,1198557,"fiction, ebooks"
15931,Nicholas Sparks,The Notebook,553816713,eng,https://images.gr-assets.com/books/1385738917m/15931.jpg,4.06,1053403,"fiction, romance"
4214,Yann Martel,Life of Pi,770430074,,https://images.gr-assets.com/books/1320562005m/4214.jpg,3.88,1003228,"fantasy, classics"
43641,Sara Gruen,Water for Elephants,1565125606,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg,4.07,1068146,"fiction, romance"
19063,Markus Zusak,The Book Thief,375831002,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg,4.36,1159741,"fiction, classics"
4381,Ray Bradbury,Fahrenheit 451,307347974,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg,3.97,570498,"classics, fiction"
49041,Stephenie Meyer,"New Moon (Twilight, #2)",316160199,eng,https://images.gr-assets.com/books/1361039440m/49041.jpg,3.52,1149630,"fantasy, romance"
30119,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,60513039,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg,4.29,1016888,"poetry, classics"
256683,Cassandra Clare,City of Bones,1416914285,eng,https://images.gr-assets.com/books/1432730315m/256683.jpg,4.12,1154031,"paranormal, romance"
428263,Stephenie Meyer,Eclipse,316160202,en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg,3.69,1134511,"fantasy, romance"
113436,Christopher Paolini,Eragon,375826696,en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg,3.86,1104021,"fantasy, fiction"
11,Douglas Adams,The Hitchhiker's Guide to the Galaxy,345391802,en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,4.2,936782,"fiction, fantasy"
5129,Aldous Huxley,Brave New World,60929871,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg,3.97,1022601,"classics, fiction"
1162543,Stephenie Meyer,Breaking Dawn,031606792X,en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg,3.7,1070245,"fantasy, contemporary"
37435,Sue Monk Kidd,The Secret Life of Bees,142001740,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg,4.01,916189,"fiction, classics"
2956,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,142437174,eng,https://images.gr-assets.com/books/1405973850m/2956.jpg,3.8,953758,"classics, fiction"
24178,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,64410935,eng,https://images.gr-assets.com/books/1439632243m/24178.jpg,4.15,1064521,"classics, fiction"
1618,Mark Haddon,The Curious Incident of the Dog in the Night-Time,1400032717,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg,3.85,867553,"fiction, classics"
22557272,Paula Hawkins,The Girl on the Train,1594633665,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg,3.88,1008778,"mystery, fiction"
119322,Philip Pullman,Northern Lights,679879242,eng,https://images.gr-assets.com/books/1451271747m/119322.jpg,3.94,953970,"fantasy, fiction"
6185,"Emily Brontë, Richard J. Dunn",Wuthering Heights,393978893,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg,3.82,899195,"classics, fiction"
10917,Jodi Picoult,My Sister's Keeper,743454537,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg,4.06,863879,"fiction, contemporary"
4981,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",385333846,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg,4.06,846488,"classics, fiction"
18405,Margaret Mitchell,Gone with the Wind,446675539,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg,4.28,873981,"classics, fiction"
128029,Khaled Hosseini,A Thousand Splendid Suns,1594489505,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg,4.34,818742,"fiction, contemporary"
22628,Stephen Chbosky,The Perks of Being a Wallflower,671027344,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg,4.21,888806,"fiction, contemporary"
11735983,Veronica Roth,Insurgent,7442912,eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg,4.07,836362,"fiction, fantasy"
375802,Orson Scott Card,Ender's Game,812550706,eng,https://images.gr-assets.com/books/1408303130m/375802.jpg,4.3,813439,"fiction, fantasy"
18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",141439475,eng,https://images.gr-assets.com/books/1381512375m/18490.jpg,3.75,808589,"classics, fiction"
11588,Stephen King,The Shining,450040186,eng,https://images.gr-assets.com/books/1353277730m/11588.jpg,4.17,791850,"fiction, fantasy"
1656001,Stephenie Meyer,The Host,316068047,en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg,3.84,749780,"fiction, paranormal"
99561,John Green,Looking for Alaska,142402516,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg,4.09,783470,"fiction, contemporary"
14935,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,141439661,eng,https://images.gr-assets.com/books/1397245675m/14935.jpg,4.06,738894,"fiction, ebooks"
38709,"Louis Sachar, Louis Sachar",Holes,439244196,eng,https://images.gr-assets.com/books/1327781893m/38709.jpg,3.93,747445,"fiction, mystery"
5139,Lauren Weisberger,The Devil Wears Prada,307275558,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179604l/5139.jpg,3.7,665930,"fiction, contemporary"
1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,143039954,eng,https://images.gr-assets.com/books/1390173285m/1381.jpg,3.73,670326,"classics, fiction"
157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,156012197,eng,https://images.gr-assets.com/books/1367545443m/157993.jpg,4.28,738757,"fantasy, philosophy"
7445,Jeannette Walls,The Glass Castle,074324754X,eng,https://images.gr-assets.com/books/1400930557m/7445.jpg,4.24,621099,"memoir, nonfiction"
1845,Jon Krakauer,Into the Wild,385486804,eng,https://images.gr-assets.com/books/1403173986m/1845.jpg,3.94,647684,"nonfiction, biography"
1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,141439602,eng,https://images.gr-assets.com/books/1344922523m/1953.jpg,3.81,637412,"classics, fiction"
7677,Michael Crichton,Jurassic Park,030734813X,spa,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348796998l/7677.jpg,3.96,447833,"fiction, thriller"
370493,Shel Silverstein,The Giving Tree,60256656,eng,https://images.gr-assets.com/books/1174210942m/370493.jpg,4.38,702332,"classics, fiction"
32542,John Grisham,A Time to Kill,385338600,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554303029l/32542.jpg,4.03,597775,"fiction, mystery"
1617,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,374500010,eng,https://images.gr-assets.com/books/1473495285m/1617.jpg,4.3,691231,"classics, history"
6442769,John Green,Paper Towns,014241493X,en-US,https://images.gr-assets.com/books/1349013610m/6442769.jpg,3.88,461311,"contemporary, fiction"
21787,William Goldman,The Princess Bride,345418263,en-US,https://images.gr-assets.com/books/1327903636m/21787.jpg,4.25,628637,"ebooks, contemporary"
231804,S.E. Hinton,The Outsiders,014038572X,en-US,https://images.gr-assets.com/books/1442129426m/231804.jpg,4.06,659248,"fiction, classics"
6186357,James Dashner,The Maze Runner,385737947,eng,https://images.gr-assets.com/books/1375596592m/6186357.jpg,4.02,719925,"fiction, fantasy"
1202,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,61234001,en-US,https://images.gr-assets.com/books/1327909092m/1202.jpg,3.93,524191,"nonfiction, science"
2998,Frances Hodgson Burnett,The Secret Garden,517189607,eng,https://images.gr-assets.com/books/1327873635m/2998.jpg,4.12,639357,"classics, fiction"
320,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,60531045,eng,https://images.gr-assets.com/books/1327881361m/320.jpg,4.04,490565,"classics, fiction"
5297,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,375751513,eng,https://images.gr-assets.com/books/1424596966m/5297.jpg,4.06,590014,"classics, fiction"
13536860,E.L. James,Fifty Shades Freed,345803507,eng,https://images.gr-assets.com/books/1336418837m/13536860.jpg,3.88,387290,"fiction, contemporary"
17245,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,393970124,eng,https://images.gr-assets.com/books/1387151694m/17245.jpg,3.98,618973,"classics, horror"
5060378,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,307269981,eng,https://images.gr-assets.com/books/1351778881m/5060378.jpg,4.22,563994,"fiction, mystery"
11857408,E.L. James,Fifty Shades Darker,1612130585,eng,https://images.gr-assets.com/books/1358266080m/11857408.jpg,3.87,552059,"romance, fiction"
7244,Barbara Kingsolver,The Poisonwood Bible,60786507,eng,https://images.gr-assets.com/books/1412242487m/7244.jpg,4.02,546502,"fiction, classics"
4137,David Sedaris,Me Talk Pretty One Day,349113912,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431013639l/4137.jpg,3.97,495736,"memoir, nonfiction"
19543,Maurice Sendak,Where the Wild Things Are,99408392,eng,https://images.gr-assets.com/books/1384434560m/19543.jpg,4.22,620618,"fiction, classics"
7126,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,140449264,eng,https://images.gr-assets.com/books/1309203605m/7126.jpg,4.21,555822,"classics, fiction"
6288,Cormac McCarthy,The Road,307265439,eng,https://images.gr-assets.com/books/1439197219m/6288.jpg,3.95,504793,"fiction, horror"
18710190,Veronica Roth,Allegiant,7524277,eng,https://images.gr-assets.com/books/1395582745m/18710190.jpg,3.63,463257,"fiction, fantasy"
9418327,Tina Fey,Bossypants,,eng,https://images.gr-assets.com/books/1481509554m/9418327.jpg,3.94,506250,"memoir, nonfiction"
3473,Nicholas Sparks,A Walk to Remember,446693804,en-US,https://images.gr-assets.com/books/1385738968m/3473.jpg,4.15,546948,"romance, fiction"
9416,Sophie Kinsella,Confessions of a Shopaholic,440241413,eng,https://images.gr-assets.com/books/1327872404m/9416.jpg,3.61,543658,"fiction, romance"
24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,451525264,eng,https://images.gr-assets.com/books/1411852091m/24280.jpg,4.14,513407,"classics, fiction"
10572,George R.R. Martin,A Clash of Kings,553381695,eng,https://images.gr-assets.com/books/1358254974m/10572.jpg,4.4,523303,"fantasy, fiction"
10441,Kim Edwards,The Memory Keeper's Daughter,143037145,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552112312l/10441._SY475_.jpg,3.64,501430,"fiction, contemporary"
15507958,Jojo Moyes,Me Before You,670026603,eng,https://images.gr-assets.com/books/1357108762m/15507958.jpg,4.27,587647,"romance, fiction"
168668,Joseph Heller,Catch-22,684833395,en-US,https://images.gr-assets.com/books/1463157317m/168668.jpg,3.98,563265,"classics, fiction"
6900,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,751529818,eng,https://images.gr-assets.com/books/1423763749m/6900.jpg,4.06,556518,"fiction, nonfiction"
2187,Jeffrey Eugenides,Middlesex,312422156,en-US,https://images.gr-assets.com/books/1437029776m/2187.jpg,3.98,488243,"fiction, contemporary"
24583,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,143039563,eng,https://images.gr-assets.com/books/1404811979m/24583.jpg,3.89,555359,"classics, fiction"
18131,Madeleine L'Engle,A Wrinkle in Time,440498058,en-US,https://images.gr-assets.com/books/1329061522m/18131.jpg,4.04,615907,"fantasy, fiction"
7763,Amy Tan,The Joy Luck Club,143038095,eng,https://images.gr-assets.com/books/1304978653m/7763.jpg,3.9,515090,"classics, fiction"
38447,Margaret Atwood,The Handmaid's Tale,038549081X,eng,https://images.gr-assets.com/books/1498057733m/38447.jpg,4.06,607889,"fiction, classics"
452306,Ann Brashares,The Sisterhood of the Traveling Pants,385729332,eng,https://images.gr-assets.com/books/1461611233m/452306.jpg,3.75,525706,"fiction, contemporary"
7604,"Vladimir Nabokov, Craig Raine",Lolita,,eng,https://images.gr-assets.com/books/1377756377m/7604.jpg,3.88,469836,"fiction, classics"
37442,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,60987103,eng,https://images.gr-assets.com/books/1437733293m/37442.jpg,3.52,506900,"fantasy, classics"
5358,John Grisham,The Firm,582418275,eng,https://images.gr-assets.com/books/1418465200m/5358.jpg,3.99,488269,"fiction, thriller"
7937843,Emma Donoghue,Room,316098337,eng,https://images.gr-assets.com/books/1344265419m/7937843.jpg,4.03,511360,"fiction, contemporary"
1420,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",521618746,eng,https://images.gr-assets.com/books/1351051208m/1420.jpg,4.0,515820,"classics, fiction"
234225,Frank Herbert,Dune,340839937,eng,https://images.gr-assets.com/books/1434908555m/234225.jpg,4.19,485032,"fiction, fantasy"
2612,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,316346624,eng,https://images.gr-assets.com/books/1473396980m/2612.jpg,3.92,490504,"nonfiction, business"
11084145,Walter Isaacson,Steve Jobs,1451648537,eng,https://images.gr-assets.com/books/1327861368m/11084145.jpg,4.09,560715,"biography, business"
332613,Ken Kesey,One Flew Over the Cuckoo's Nest,451163966,eng,https://images.gr-assets.com/books/1485308778m/332613.jpg,4.18,491642,"classics, fiction"
2165,Ernest Hemingway,The Old Man and the Sea,684830493,eng,https://images.gr-assets.com/books/1329189714m/2165.jpg,3.73,520630,"classics, fiction"
4395,John Steinbeck,The Grapes of Wrath,142000663,eng,https://images.gr-assets.com/books/1352912927m/4395.jpg,3.92,322321,"classics, fiction"
3431,Mitch Albom,The Five People You Meet in Heaven,1401308589,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541l/3431.jpg,3.9,449501,"fiction, christian"
8127,L.M. Montgomery,Anne of Green Gables,451528824,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015l/8127.jpg,4.23,502247,"fiction, romance"
3777732,Cassandra Clare,City of Glass,1416914307,en-US,https://images.gr-assets.com/books/1369452339m/3777732.jpg,4.34,593173,"fantasy, paranormal"
62291,George R.R. Martin,A Storm of Swords,055357342X,eng,https://images.gr-assets.com/books/1497931121m/62291.jpg,4.54,469022,"fantasy, fiction"
137791,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,006075995X,en-US,https://images.gr-assets.com/books/1408313524m/137791.jpg,3.79,465676,"fiction, contemporary"
10964,Diana Gabaldon,Outlander,440242940,eng,https://images.gr-assets.com/books/1402600310m/10964.jpg,4.2,515547,"romance, fantasy"
12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,142437263,eng,https://images.gr-assets.com/books/1404810944m/12296.jpg,3.37,509883,"romance, history"
9460487,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,1594744769,en-US,https://images.gr-assets.com/books/1472782916m/9460487.jpg,3.89,613674,"fantasy, fiction"
6892870,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,030726999X,en-US,https://images.gr-assets.com/books/1327708260m/6892870.jpg,4.2,443951,"fiction, mystery"
18007564,Andy Weir,The Martian,804139024,eng,https://images.gr-assets.com/books/1413706054m/18007564.jpg,4.39,423344,"science, thriller"
5043,Ken Follett,The Pillars of the Earth,451207149,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043.jpg,4.29,462517,"fiction, history"
8664353,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",1400064163,eng,https://images.gr-assets.com/books/1327861115m/8664353.jpg,4.4,487775,"history, biography"
976,Dan Brown,Deception Point,671027387,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551277487l/976._SY475_.jpg,3.67,455610,"fiction, thriller"
17333223,Donna Tartt,The Goldfinch,316055433,eng,https://images.gr-assets.com/books/1451554970m/17333223.jpg,3.87,396756,"fiction, contemporary"
1217100,Jay Asher,Thirteen Reasons Why,1595141715,eng,https://images.gr-assets.com/books/1333822506m/1217100.jpg,4.02,463783,"romance, contemporary"
2865,Tracy Chevalier,Girl with a Pearl Earring,452287022,eng,https://images.gr-assets.com/books/1327197580m/2865.jpg,3.85,467577,"fiction, art"
4374400,Gayle Forman,If I Stay,525421033,en-US,https://images.gr-assets.com/books/1347462970m/4374400.jpg,3.96,503527,"romance, contemporary"
4989,Anita Diamant,The Red Tent,312353766,en-US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117l/4989.jpg,4.16,424981,"history, fiction"
28186,Rick Riordan,The Sea of Monsters,786856866,eng,https://images.gr-assets.com/books/1400602661m/28186.jpg,4.23,514932,"fantasy, fiction"
5526,Nicholas Sparks,Dear John,446528056,en-US,https://images.gr-assets.com/books/1397749854m/5526.jpg,4.01,441062,"romance, fiction"
1582996,Cassandra Clare,City of Ashes,1416914293,eng,https://images.gr-assets.com/books/1432730356m/1582996.jpg,4.21,541117,"fantasy, paranormal"
8852,William Shakespeare,The Tragedy of Macbeth,743477103,eng,https://images.gr-assets.com/books/1459795224m/8852.jpg,3.88,496018,"fiction, poetry"
15241,J.R.R. Tolkien,The Two Towers,618346260,en-US,https://images.gr-assets.com/books/1298415523m/15241.jpg,4.42,480446,"fantasy, classics"
42156,Emily Giffin,Something Borrowed,031232118X,eng,https://images.gr-assets.com/books/1305063535m/42156.jpg,3.83,403601,"romance, fiction"
23772,"Dr. Seuss, לאה נאור",Green Eggs and Ham,394800168,en-US,https://images.gr-assets.com/books/1468680100m/23772.jpg,4.29,457475,"classics, fiction"
6310,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,142403881,eng,https://images.gr-assets.com/books/1309211401m/6310.jpg,4.1,453959,"fiction, classics"
2120932,Rick Riordan,The Battle of the Labyrinth,1423101464,eng,https://images.gr-assets.com/books/1443142158m/2120932.jpg,4.39,508214,"fantasy, fiction"
2623,Charles Dickens,Great Expectations,192833596,eng,https://images.gr-assets.com/books/1327920219m/2623.jpg,3.75,459247,"classics, fiction"
18512,J.R.R. Tolkien,The Return of the King,345339738,en-US,https://images.gr-assets.com/books/1389977161m/18512.jpg,4.51,463959,"fantasy, fiction"
49552,"Albert Camus, Matthew    Ward",L’Étranger,,eng,https://images.gr-assets.com/books/1349927872m/49552.jpg,3.96,420600,"classics, fiction"
7736182,Rick Riordan,The Lost Hero,142311339X,eng,https://images.gr-assets.com/books/1464201003m/7736182.jpg,4.35,271576,"fantasy, fiction"
15745753,Rainbow Rowell,Eleanor & Park,1250012570,eng,https://images.gr-assets.com/books/1341952742m/15745753.jpg,4.11,514312,"romance, contemporary"
13497,George R.R. Martin,A Feast for Crows,055358202X,en-US,https://images.gr-assets.com/books/1429538615m/13497.jpg,4.1,428186,"fantasy, fiction"
7735333,Ally Condie,Matched,525423648,eng,https://images.gr-assets.com/books/1367706191m/7735333.jpg,3.68,511815,"romance, fiction"
4407,Neil Gaiman,American Gods,747263744,eng,https://images.gr-assets.com/books/1258417001m/4407.jpg,4.11,378019,"fantasy, fiction"
149267,"Stephen King, Bernie Wrightson",The Stand,385199570,en-US,https://images.gr-assets.com/books/1213131305m/149267.jpg,4.34,438832,"horror, fiction"
6400090,Nicholas Sparks,The Last Song,446547565,en-GB,https://images.gr-assets.com/books/1286549186m/6400090.jpg,4.14,424637,"romance, fiction"
11125,Dan Brown,Digital Fortress,552151696,en-GB,https://images.gr-assets.com/books/1360095966m/11125.jpg,3.6,423019,"fiction, thriller"
6969,"Jane Austen, Fiona Stafford",Emma,141439580,eng,https://images.gr-assets.com/books/1373627931m/6969.jpg,3.99,459826,"classics, fiction"
15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,345803922,eng,https://images.gr-assets.com/books/1352422904m/15823480.jpg,4.02,297472,"classics, fiction"
227463,Anthony Burgess,A Clockwork Orange,393312836,eng,https://images.gr-assets.com/books/1348339306m/227463.jpg,3.98,431195,"classics, fiction"
1812457,William Paul Young,The Shack: Where Tragedy Confronts Eternity,964729237,eng,https://images.gr-assets.com/books/1344270232m/1812457.jpg,3.74,419539,"fiction, christian"
4502507,Rick Riordan,The Last Olympian,739380338,eng,https://images.gr-assets.com/books/1327924597m/4502507.jpg,4.5,397500,"fantasy, fiction"
18342,Stephen King,It,451169514,en-US,https://images.gr-assets.com/books/1309376909m/18342.jpg,4.18,292592,"horror, fiction"
7144,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,143058142,eng,https://images.gr-assets.com/books/1382846449m/7144.jpg,4.18,380903,"fiction, philosophy"
