book_id,authors,original_title,genre,small_image_url
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,"fantasy, fiction",https://images.gr-assets.com/books/1499277281s/5.jpg
34,J.R.R. Tolkien, The Fellowship of the Ring,"fantasy, classics",https://images.gr-assets.com/books/1298411339s/34.jpg
7260188,Suzanne Collins,Mockingjay,"fiction, fantasy",https://images.gr-assets.com/books/1358275419s/7260188.jpg
2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,"fantasy, fiction",https://images.gr-assets.com/books/1387141547s/2.jpg
12232938,Alice Sebold,The Lovely Bones,"fiction, mystery",https://images.gr-assets.com/books/1457810586s/12232938.jpg
15881,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,"fantasy, fiction",https://images.gr-assets.com/books/1474169725s/15881.jpg
6,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,"fantasy, fiction",https://images.gr-assets.com/books/1361482611s/6.jpg
136251,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,"fantasy, fiction",https://images.gr-assets.com/books/1474171184s/136251.jpg
968,Dan Brown,The Da Vinci Code,"fiction, thriller",https://images.gr-assets.com/books/1303252999s/968.jpg
1,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,"fantasy, fiction",https://images.gr-assets.com/books/1361039191s/1.jpg
7624,William Golding,Lord of the Flies ,"classics, fiction",https://images.gr-assets.com/books/1327869409s/7624.jpg
18135,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,"classics, fiction",https://images.gr-assets.com/books/1327872146s/18135.jpg
8442457,Gillian Flynn,Gone Girl,"mystery, crime",https://images.gr-assets.com/books/1339602131s/8442457.jpg
4667024,Kathryn Stockett,The Help,"fiction, contemporary",https://images.gr-assets.com/books/1346100365s/4667024.jpg
890,John Steinbeck,Of Mice and Men ,"classics, fiction",https://images.gr-assets.com/books/1437235233s/890.jpg
930,Arthur Golden,Memoirs of a Geisha,"fiction, romance",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10818853,E.L. James,Fifty Shades of Grey,"romance, fiction",https://images.gr-assets.com/books/1385207843s/10818853.jpg
865,"Paulo Coelho, Alan R. Clarke",O Alquimista,"fiction, classics",https://images.gr-assets.com/books/1483412266s/865.jpg
3636,Lois Lowry,The Giver,"fiction, classics",https://images.gr-assets.com/books/1342493368s/3636.jpg
100915,C.S. Lewis,"The Lion, the Witch and the Wardrobe","fantasy, classics",https://images.gr-assets.com/books/1353029077s/100915.jpg
14050,Audrey Niffenegger,The Time Traveler's Wife,"fiction, romance",https://images.gr-assets.com/books/1437728815s/14050.jpg
13496,George R.R. Martin,A Game of Thrones,"fiction, fantasy",https://images.gr-assets.com/books/1436732693s/13496.jpg
19501,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","memoir, travel",https://images.gr-assets.com/books/1503066414s/19501.jpg
28187,Rick Riordan,The Lightning Thief,"fantasy, fiction",https://images.gr-assets.com/books/1400602609s/28187.jpg
1934,Louisa May Alcott,Little Women,"classics, fiction",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10210,"Charlotte Brontë, Michael Mason",Jane Eyre,"fiction, ebooks",https://images.gr-assets.com/books/1327867269s/10210.jpg
15931,Nicholas Sparks,The Notebook,"fiction, romance",https://images.gr-assets.com/books/1385738917s/15931.jpg
4214,Yann Martel,Life of Pi,"fantasy, classics",https://images.gr-assets.com/books/1320562005s/4214.jpg
43641,Sara Gruen,Water for Elephants,"fiction, romance",https://images.gr-assets.com/books/1494428973s/43641.jpg
19063,Markus Zusak,The Book Thief,"fiction, classics",https://images.gr-assets.com/books/1390053681s/19063.jpg
4381,Ray Bradbury,Fahrenheit 451,"classics, fiction",https://images.gr-assets.com/books/1351643740s/4381.jpg
49041,Stephenie Meyer,"New Moon (Twilight, #2)","fantasy, romance",https://images.gr-assets.com/books/1361039440s/49041.jpg
30119,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,"poetry, classics",https://images.gr-assets.com/books/1168052448s/30119.jpg
256683,Cassandra Clare,City of Bones,"paranormal, romance",https://images.gr-assets.com/books/1432730315s/256683.jpg
428263,Stephenie Meyer,Eclipse,"fantasy, romance",https://images.gr-assets.com/books/1361038355s/428263.jpg
113436,Christopher Paolini,Eragon,"fantasy, fiction",https://images.gr-assets.com/books/1366212852s/113436.jpg
11,Douglas Adams,The Hitchhiker's Guide to the Galaxy,"fiction, fantasy",https://images.gr-assets.com/books/1327656754s/11.jpg
5129,Aldous Huxley,Brave New World,"classics, fiction",https://images.gr-assets.com/books/1487389574s/5129.jpg
1162543,Stephenie Meyer,Breaking Dawn,"fantasy, contemporary",https://images.gr-assets.com/books/1361039438s/1162543.jpg
37435,Sue Monk Kidd,The Secret Life of Bees,"fiction, classics",https://images.gr-assets.com/books/1473454532s/37435.jpg
2956,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,"classics, fiction",https://images.gr-assets.com/books/1405973850s/2956.jpg
24178,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,"classics, fiction",https://images.gr-assets.com/books/1439632243s/24178.jpg
1618,Mark Haddon,The Curious Incident of the Dog in the Night-Time,"fiction, classics",https://images.gr-assets.com/books/1479863624s/1618.jpg
22557272,Paula Hawkins,The Girl on the Train,"mystery, fiction",https://images.gr-assets.com/books/1490903702s/22557272.jpg
119322,Philip Pullman,Northern Lights,"fantasy, fiction",https://images.gr-assets.com/books/1451271747s/119322.jpg
6185,"Emily Brontë, Richard J. Dunn",Wuthering Heights,"classics, fiction",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10917,Jodi Picoult,My Sister's Keeper,"fiction, contemporary",https://images.gr-assets.com/books/1369504683s/10917.jpg
4981,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ","classics, fiction",https://images.gr-assets.com/books/1440319389s/4981.jpg
18405,Margaret Mitchell,Gone with the Wind,"classics, fiction",https://images.gr-assets.com/books/1328025229s/18405.jpg
128029,Khaled Hosseini,A Thousand Splendid Suns,"fiction, contemporary",https://images.gr-assets.com/books/1345958969s/128029.jpg
22628,Stephen Chbosky,The Perks of Being a Wallflower,"fiction, contemporary",https://images.gr-assets.com/books/1167352178s/22628.jpg
11735983,Veronica Roth,Insurgent,"fiction, fantasy",https://images.gr-assets.com/books/1325667729s/11735983.jpg
375802,Orson Scott Card,Ender's Game,"fiction, fantasy",https://images.gr-assets.com/books/1408303130s/375802.jpg
18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus","classics, fiction",https://images.gr-assets.com/books/1381512375s/18490.jpg
11588,Stephen King,The Shining,"fiction, fantasy",https://images.gr-assets.com/books/1353277730s/11588.jpg
1656001,Stephenie Meyer,The Host,"fiction, paranormal",https://images.gr-assets.com/books/1318009171s/1656001.jpg
99561,John Green,Looking for Alaska,"fiction, contemporary",https://images.gr-assets.com/books/1394798630s/99561.jpg
14935,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,"fiction, ebooks",https://images.gr-assets.com/books/1397245675s/14935.jpg
38709,"Louis Sachar, Louis Sachar",Holes,"fiction, mystery",https://images.gr-assets.com/books/1327781893s/38709.jpg
5139,Lauren Weisberger,The Devil Wears Prada,"fiction, contemporary",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,"classics, fiction",https://images.gr-assets.com/books/1390173285s/1381.jpg
157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,"fantasy, philosophy",https://images.gr-assets.com/books/1367545443s/157993.jpg
7445,Jeannette Walls,The Glass Castle,"memoir, nonfiction",https://images.gr-assets.com/books/1400930557s/7445.jpg
1845,Jon Krakauer,Into the Wild,"nonfiction, biography",https://images.gr-assets.com/books/1403173986s/1845.jpg
1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,"classics, fiction",https://images.gr-assets.com/books/1344922523s/1953.jpg
7677,Michael Crichton,Jurassic Park,"fiction, thriller",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
370493,Shel Silverstein,The Giving Tree,"classics, fiction",https://images.gr-assets.com/books/1174210942s/370493.jpg
32542,John Grisham,A Time to Kill,"fiction, mystery",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1617,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,"classics, history",https://images.gr-assets.com/books/1473495285s/1617.jpg
6442769,John Green,Paper Towns,"contemporary, fiction",https://images.gr-assets.com/books/1349013610s/6442769.jpg
21787,William Goldman,The Princess Bride,"ebooks, contemporary",https://images.gr-assets.com/books/1327903636s/21787.jpg
231804,S.E. Hinton,The Outsiders,"fiction, classics",https://images.gr-assets.com/books/1442129426s/231804.jpg
6186357,James Dashner,The Maze Runner,"fiction, fantasy",https://images.gr-assets.com/books/1375596592s/6186357.jpg
1202,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"nonfiction, science",https://images.gr-assets.com/books/1327909092s/1202.jpg
2998,Frances Hodgson Burnett,The Secret Garden,"classics, fiction",https://images.gr-assets.com/books/1327873635s/2998.jpg
320,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,"classics, fiction",https://images.gr-assets.com/books/1327881361s/320.jpg
5297,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,"classics, fiction",https://images.gr-assets.com/books/1424596966s/5297.jpg
13536860,E.L. James,Fifty Shades Freed,"fiction, contemporary",https://images.gr-assets.com/books/1336418837s/13536860.jpg
17245,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,"classics, horror",https://images.gr-assets.com/books/1387151694s/17245.jpg
5060378,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,"fiction, mystery",https://images.gr-assets.com/books/1351778881s/5060378.jpg
11857408,E.L. James,Fifty Shades Darker,"romance, fiction",https://images.gr-assets.com/books/1358266080s/11857408.jpg
7244,Barbara Kingsolver,The Poisonwood Bible,"fiction, classics",https://images.gr-assets.com/books/1412242487s/7244.jpg
4137,David Sedaris,Me Talk Pretty One Day,"memoir, nonfiction",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
19543,Maurice Sendak,Where the Wild Things Are,"fiction, classics",https://images.gr-assets.com/books/1384434560s/19543.jpg
7126,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,"classics, fiction",https://images.gr-assets.com/books/1309203605s/7126.jpg
6288,Cormac McCarthy,The Road,"fiction, horror",https://images.gr-assets.com/books/1439197219s/6288.jpg
18710190,Veronica Roth,Allegiant,"fiction, fantasy",https://images.gr-assets.com/books/1395582745s/18710190.jpg
9418327,Tina Fey,Bossypants,"memoir, nonfiction",https://images.gr-assets.com/books/1481509554s/9418327.jpg
3473,Nicholas Sparks,A Walk to Remember,"romance, fiction",https://images.gr-assets.com/books/1385738968s/3473.jpg
9416,Sophie Kinsella,Confessions of a Shopaholic,"fiction, romance",https://images.gr-assets.com/books/1327872404s/9416.jpg
24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,"classics, fiction",https://images.gr-assets.com/books/1411852091s/24280.jpg
10572,George R.R. Martin,A Clash of Kings,"fantasy, fiction",https://images.gr-assets.com/books/1358254974s/10572.jpg
10441,Kim Edwards,The Memory Keeper's Daughter,"fiction, contemporary",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
15507958,Jojo Moyes,Me Before You,"romance, fiction",https://images.gr-assets.com/books/1357108762s/15507958.jpg
168668,Joseph Heller,Catch-22,"classics, fiction",https://images.gr-assets.com/books/1463157317s/168668.jpg
6900,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,"fiction, nonfiction",https://images.gr-assets.com/books/1423763749s/6900.jpg
2187,Jeffrey Eugenides,Middlesex,"fiction, contemporary",https://images.gr-assets.com/books/1437029776s/2187.jpg
24583,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,"classics, fiction",https://images.gr-assets.com/books/1404811979s/24583.jpg
18131,Madeleine L'Engle,A Wrinkle in Time,"fantasy, fiction",https://images.gr-assets.com/books/1329061522s/18131.jpg
7763,Amy Tan,The Joy Luck Club,"classics, fiction",https://images.gr-assets.com/books/1304978653s/7763.jpg
38447,Margaret Atwood,The Handmaid's Tale,"fiction, classics",https://images.gr-assets.com/books/1498057733s/38447.jpg
452306,Ann Brashares,The Sisterhood of the Traveling Pants,"fiction, contemporary",https://images.gr-assets.com/books/1461611233s/452306.jpg
7604,"Vladimir Nabokov, Craig Raine",Lolita,"fiction, classics",https://images.gr-assets.com/books/1377756377s/7604.jpg
37442,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,"fantasy, classics",https://images.gr-assets.com/books/1437733293s/37442.jpg
5358,John Grisham,The Firm,"fiction, thriller",https://images.gr-assets.com/books/1418465200s/5358.jpg
7937843,Emma Donoghue,Room,"fiction, contemporary",https://images.gr-assets.com/books/1344265419s/7937843.jpg
1420,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark","classics, fiction",https://images.gr-assets.com/books/1351051208s/1420.jpg
234225,Frank Herbert,Dune,"fiction, fantasy",https://images.gr-assets.com/books/1434908555s/234225.jpg
2612,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,"nonfiction, business",https://images.gr-assets.com/books/1473396980s/2612.jpg
11084145,Walter Isaacson,Steve Jobs,"biography, business",https://images.gr-assets.com/books/1327861368s/11084145.jpg
332613,Ken Kesey,One Flew Over the Cuckoo's Nest,"classics, fiction",https://images.gr-assets.com/books/1485308778s/332613.jpg
2165,Ernest Hemingway,The Old Man and the Sea,"classics, fiction",https://images.gr-assets.com/books/1329189714s/2165.jpg
4395,John Steinbeck,The Grapes of Wrath,"classics, fiction",https://images.gr-assets.com/books/1352912927s/4395.jpg
3431,Mitch Albom,The Five People You Meet in Heaven,"fiction, christian",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
8127,L.M. Montgomery,Anne of Green Gables,"fiction, romance",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3777732,Cassandra Clare,City of Glass,"fantasy, paranormal",https://images.gr-assets.com/books/1369452339s/3777732.jpg
62291,George R.R. Martin,A Storm of Swords,"fantasy, fiction",https://images.gr-assets.com/books/1497931121s/62291.jpg
137791,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,"fiction, contemporary",https://images.gr-assets.com/books/1408313524s/137791.jpg
10964,Diana Gabaldon,Outlander,"romance, fantasy",https://images.gr-assets.com/books/1402600310s/10964.jpg
12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,"romance, history",https://images.gr-assets.com/books/1404810944s/12296.jpg
9460487,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,"fantasy, fiction",https://images.gr-assets.com/books/1472782916s/9460487.jpg
6892870,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,"fiction, mystery",https://images.gr-assets.com/books/1327708260s/6892870.jpg
18007564,Andy Weir,The Martian,"science, thriller",https://images.gr-assets.com/books/1413706054s/18007564.jpg
5043,Ken Follett,The Pillars of the Earth,"fiction, history",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
8664353,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","history, biography",https://images.gr-assets.com/books/1327861115s/8664353.jpg
976,Dan Brown,Deception Point,"fiction, thriller",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
17333223,Donna Tartt,The Goldfinch,"fiction, contemporary",https://images.gr-assets.com/books/1451554970s/17333223.jpg
1217100,Jay Asher,Thirteen Reasons Why,"romance, contemporary",https://images.gr-assets.com/books/1333822506s/1217100.jpg
2865,Tracy Chevalier,Girl with a Pearl Earring,"fiction, art",https://images.gr-assets.com/books/1327197580s/2865.jpg
4374400,Gayle Forman,If I Stay,"romance, contemporary",https://images.gr-assets.com/books/1347462970s/4374400.jpg
4989,Anita Diamant,The Red Tent,"history, fiction",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
28186,Rick Riordan,The Sea of Monsters,"fantasy, fiction",https://images.gr-assets.com/books/1400602661s/28186.jpg
5526,Nicholas Sparks,Dear John,"romance, fiction",https://images.gr-assets.com/books/1397749854s/5526.jpg
1582996,Cassandra Clare,City of Ashes,"fantasy, paranormal",https://images.gr-assets.com/books/1432730356s/1582996.jpg
8852,William Shakespeare,The Tragedy of Macbeth,"fiction, poetry",https://images.gr-assets.com/books/1459795224s/8852.jpg
15241,J.R.R. Tolkien,The Two Towers,"fantasy, classics",https://images.gr-assets.com/books/1298415523s/15241.jpg
42156,Emily Giffin,Something Borrowed,"romance, fiction",https://images.gr-assets.com/books/1305063535s/42156.jpg
23772,"Dr. Seuss, לאה נאור",Green Eggs and Ham,"classics, fiction",https://images.gr-assets.com/books/1468680100s/23772.jpg
6310,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,"fiction, classics",https://images.gr-assets.com/books/1309211401s/6310.jpg
2120932,Rick Riordan,The Battle of the Labyrinth,"fantasy, fiction",https://images.gr-assets.com/books/1443142158s/2120932.jpg
2623,Charles Dickens,Great Expectations,"classics, fiction",https://images.gr-assets.com/books/1327920219s/2623.jpg
18512,J.R.R. Tolkien,The Return of the King,"fantasy, fiction",https://images.gr-assets.com/books/1389977161s/18512.jpg
49552,"Albert Camus, Matthew    Ward",L’Étranger,"classics, fiction",https://images.gr-assets.com/books/1349927872s/49552.jpg
7736182,Rick Riordan,The Lost Hero,"fantasy, fiction",https://images.gr-assets.com/books/1464201003s/7736182.jpg
15745753,Rainbow Rowell,Eleanor & Park,"romance, contemporary",https://images.gr-assets.com/books/1341952742s/15745753.jpg
13497,George R.R. Martin,A Feast for Crows,"fantasy, fiction",https://images.gr-assets.com/books/1429538615s/13497.jpg
7735333,Ally Condie,Matched,"romance, fiction",https://images.gr-assets.com/books/1367706191s/7735333.jpg
4407,Neil Gaiman,American Gods,"fantasy, fiction",https://images.gr-assets.com/books/1258417001s/4407.jpg
149267,"Stephen King, Bernie Wrightson",The Stand,"horror, fiction",https://images.gr-assets.com/books/1213131305s/149267.jpg
6400090,Nicholas Sparks,The Last Song,"romance, fiction",https://images.gr-assets.com/books/1286549186s/6400090.jpg
11125,Dan Brown,Digital Fortress,"fiction, thriller",https://images.gr-assets.com/books/1360095966s/11125.jpg
6969,"Jane Austen, Fiona Stafford",Emma,"classics, fiction",https://images.gr-assets.com/books/1373627931s/6969.jpg
15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,"classics, fiction",https://images.gr-assets.com/books/1352422904s/15823480.jpg
227463,Anthony Burgess,A Clockwork Orange,"classics, fiction",https://images.gr-assets.com/books/1348339306s/227463.jpg
1812457,William Paul Young,The Shack: Where Tragedy Confronts Eternity,"fiction, christian",https://images.gr-assets.com/books/1344270232s/1812457.jpg
4502507,Rick Riordan,The Last Olympian,"fantasy, fiction",https://images.gr-assets.com/books/1327924597s/4502507.jpg
18342,Stephen King,It,"horror, fiction",https://images.gr-assets.com/books/1309376909s/18342.jpg
7144,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,"fiction, philosophy",https://images.gr-assets.com/books/1382846449s/7144.jpg
6514,Sylvia Plath,The Bell Jar,"classics, fiction",https://images.gr-assets.com/books/1473890514s/6514.jpg
252577,Frank McCourt,Angela's Ashes: A Memoir,"memoir, biography",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
52036,"Hermann Hesse, Hilda Rosner",Siddhartha,"classics, fiction",https://images.gr-assets.com/books/1428715580s/52036.jpg
168642,Truman Capote,In Cold Blood,"classics, nonfiction",https://images.gr-assets.com/books/1424931136s/168642.jpg
6304335,"Kami Garcia, Margaret Stohl",Beautiful Creatures,"fantasy, paranormal",https://images.gr-assets.com/books/1327873282s/6304335.jpg
7171637,Cassandra Clare,Clockwork Angel,"fantasy, paranormal",https://images.gr-assets.com/books/1454962884s/7171637.jpg
39988,"Roald Dahl, Quentin Blake",Matilda,"fiction, fantasy",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9361589,Erin Morgenstern,The Night Circus,"fantasy, fiction",https://images.gr-assets.com/books/1387124618s/9361589.jpg
37470,Philippa Gregory,The Other Boleyn Girl,"fiction, romance",https://images.gr-assets.com/books/1355932638s/37470.jpg
24770,Scott Westerfeld,Uglies,"fiction, fantasy",https://images.gr-assets.com/books/1443904172s/24770.jpg
10664113,George R.R. Martin,A Dance with Dragons,"fantasy, fiction",https://images.gr-assets.com/books/1327885335s/10664113.jpg
33,J.R.R. Tolkien,The Lord of the Rings,"fantasy, classics",https://images.gr-assets.com/books/1411114164s/33.jpg
12262741,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail ,"memoir, nonfiction",https://images.gr-assets.com/books/1453189881s/12262741.jpg
472331,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,"fiction, fantasy",https://images.gr-assets.com/books/1442239711s/472331.jpg
186074,Patrick Rothfuss,The Name of the Wind,"fantasy, fiction",https://images.gr-assets.com/books/1472068073s/186074.jpg
3228917,Malcolm Gladwell,Outliers: The Story of Success,"nonfiction, psychology",https://images.gr-assets.com/books/1344266315s/3228917.jpg
153747,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale","classics, fiction",https://images.gr-assets.com/books/1327940656s/153747.jpg
2728527,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,"fiction, romance",https://images.gr-assets.com/books/1351979318s/2728527.jpg
5759,Chuck Palahniuk,Fight Club,"fiction, contemporary",https://images.gr-assets.com/books/1357128997s/5759.jpg
301082,Charlaine Harris,Dead Until Dark,"fantasy, paranormal",https://images.gr-assets.com/books/1468560853s/301082.jpg
11486,Alice Walker,The Color Purple,"fiction, classics",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
12691,John Grogan,Marley & Me: Life and Love with the World's Worst Dog,"nonfiction, memoir",https://images.gr-assets.com/books/1308858322s/12691.jpg
16299,Agatha Christie,Ten Little Niggers,"mystery, classics",https://images.gr-assets.com/books/1391120695s/16299.jpg
6411961,Dan Brown,The Lost Symbol,"fiction, mystery",https://images.gr-assets.com/books/1358274396s/6411961.jpg
6339664,Becca Fitzpatrick,"Hush, Hush","fantasy, paranormal",https://images.gr-assets.com/books/1358261334s/6339664.jpg
11505797,Jamie McGuire,Beautiful Disaster,"romance, contemporary",https://images.gr-assets.com/books/1358259032s/11505797.jpg
5326,Charles Dickens,A Christmas Carol,"classics, fiction",https://images.gr-assets.com/books/1406512317s/5326.jpg
43763,Anne Rice,Interview with the Vampire,"fantasy, horror",https://images.gr-assets.com/books/1380631642s/43763.jpg
10507293,Kiera Cass,The Selection,"romance, fantasy",https://images.gr-assets.com/books/1322103400s/10507293.jpg
6853,Janet Evanovich,One for the Money,"mystery, fiction",https://images.gr-assets.com/books/1316730230s/6853.jpg
6493208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,"nonfiction, science",https://images.gr-assets.com/books/1327878144s/6493208.jpg
23807,Thomas Harris,The Silence of the Lambs,"horror, fiction",https://images.gr-assets.com/books/1390426249s/23807.jpg
40102,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,"psychology, nonfiction",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
6867,Ian McEwan,Atonement,"romance, classics",https://images.gr-assets.com/books/1320449708s/6867.jpg
485894,"Franz Kafka, Stanley Corngold",Die Verwandlung,"classics, fiction",https://images.gr-assets.com/books/1359061917s/485894.jpg
561456,Rick Riordan,The Titan's Curse,"fantasy, fiction",https://images.gr-assets.com/books/1361038385s/561456.jpg
3153910,Garth Stein,The Art of Racing in the Rain,"fiction, contemporary",https://images.gr-assets.com/books/1377206302s/3153910.jpg
21996,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","history, nonfiction",https://images.gr-assets.com/books/1312066724s/21996.jpg
13572249,Sylvia Day,Bared to You,"romance, contemporary",https://images.gr-assets.com/books/1477803272s/13572249.jpg
11127,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia,"religion, fiction",https://images.gr-assets.com/books/1449868701s/11127.jpg
3609760,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,"fantasy, paranormal",https://images.gr-assets.com/books/1352539022s/3609760.jpg
60748,Dave Pelzer,"A Child Called ""It"": One Child's Courage to Survive","nonfiction, memoir",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
